ArrSize, Avg, Min, Max, Accuracy
100,2.199100,0.000000,2.420000,100
200,2.284700,0.000000,2.370000,100
300,2.389500,0.000000,2.620000,100
400,3.773800,0.000000,3.935000,100
500,2.643320,0.000000,4.326000,100
600,2.985167,0.000000,3.275000,100
700,3.251686,0.000000,4.125714,100
800,3.058275,0.000000,3.513750,100
900,2.037400,0.000000,2.253333,100
1000,2.313300,0.000000,3.390000,100
100,2.514200,1.700000,2.950000,100
200,2.100800,1.895000,2.315000,100
300,2.656233,1.703333,3.150000,100
400,2.784475,1.835000,2.962500,100
500,2.411000,1.704000,3.118000,100
600,2.170467,1.880000,3.520000,100
700,3.048971,2.720000,4.435714,100
800,2.940550,1.803750,3.763750,100
900,3.016245,2.537778,4.058889,100
1000,2.829240,1.984000,3.905000,100
1100,2.650818,2.400000,3.274545,100
1200,2.468467,1.941667,2.741667,100
1300,3.274031,3.129231,3.407692,100
1400,3.740457,2.439286,4.164286,100
1500,3.280747,2.510000,3.752000,100
1600,2.163438,2.005000,2.321875,100
1700,2.987071,1.792353,3.750588,100
1800,2.446139,1.765556,2.958889,100
1900,2.837974,2.631579,3.006842,100
2000,2.714485,2.389500,2.792000,100
2100,3.134352,2.793333,3.352381,100
2200,2.754886,2.732727,2.789546,100
2300,2.193322,2.050000,2.423478,100
2400,2.583783,1.856250,3.155417,100
2500,2.855616,2.632800,3.775600,100
2600,2.977827,2.140769,3.457308,100
2700,2.686074,2.584445,2.791852,100
2800,2.529425,2.189643,3.077857,100
2900,2.430010,2.136207,2.898621,100
3000,3.040884,2.945333,3.140333,100
3100,2.766207,2.618387,2.845484,100
3200,2.064369,1.740312,2.559062,100
3300,2.431751,2.014545,2.921515,100
3400,2.962571,2.390294,3.339118,100
3500,2.715194,2.574857,3.142286,100
3600,3.308561,3.035278,3.514722,100
3700,2.748189,2.337838,3.014595,100
3800,2.900653,2.232368,3.321579,100
3900,2.341743,1.656667,2.798461,100
4000,2.655300,2.171000,3.381750,100
4100,2.860585,2.235610,3.175122,100
4200,2.884983,2.523571,2.944286,100
4300,3.139833,2.917442,3.345116,100
4400,2.582475,2.323182,3.821591,100
4500,3.457647,2.674444,3.992889,100
4600,3.361076,1.898913,4.557391,100
4700,3.941200,2.161064,5.332553,100
4800,2.890435,1.993542,3.494792,100
4900,2.516849,1.802041,3.899184,100
5000,2.310828,1.888800,2.629200,100
5100,2.402478,2.250588,3.083922,100
5200,2.663958,2.431731,3.132885,100
5300,2.970355,2.480943,3.754717,100
5400,2.887185,2.445555,3.449259,100
5500,2.972793,1.863455,3.584545,100
5600,2.428518,2.157500,2.559286,100
5700,2.775007,2.523860,2.988947,100
5800,3.267124,2.439310,3.395172,100
5900,2.765827,2.435763,3.510000,100
6000,2.520792,1.860333,3.452833,100
6100,2.832523,2.470820,3.153279,100
6200,1.918973,1.716774,2.477581,100
6300,2.645413,2.036508,3.902222,100
6400,2.849822,2.749844,2.967187,100
6500,3.253606,2.317846,3.480769,100
6600,3.380574,1.724091,3.975606,100
6700,2.358666,2.207314,2.487314,100
6800,2.474765,2.370735,2.563382,100
6900,2.605531,2.318116,3.306667,100
7000,3.099211,2.819286,3.784429,100
7100,2.728178,2.157324,3.520141,100
7200,3.057206,2.844722,3.327639,100
7300,2.393677,2.266712,2.475890,100
7400,2.931647,2.331622,4.207432,100
7500,2.738523,2.661467,2.799067,100
7600,2.289638,1.668026,3.130790,100
7700,2.444748,1.960519,3.308312,100
7800,3.497145,2.668077,4.287949,100
7900,2.728342,2.547342,2.961519,100
8000,3.027350,2.076750,3.774250,100
8100,2.586778,2.182963,2.996543,100
8200,4.222091,2.894024,4.752073,100
8300,2.649713,2.330000,3.669277,100
8400,2.843232,2.263572,3.317500,100
8500,3.339049,3.034000,3.590000,100
8600,2.850945,2.598140,3.332442,100
8700,3.831193,3.110345,4.272758,100
8800,3.668108,3.136818,4.348182,100
8900,3.420915,2.944494,3.878652,100
9000,2.532204,2.324111,3.356555,100
9100,3.436803,3.356154,3.585714,100
9200,2.436196,1.677065,2.834348,100
9300,2.700258,2.300215,4.261075,100
9400,2.583681,2.323404,2.823936,100
9500,2.558286,1.991053,2.948105,100
9600,2.450954,1.947292,2.809792,100
9700,3.133194,2.419485,3.533093,100
9800,3.403802,2.304898,3.826531,100
9900,3.059899,2.997071,3.122727,100
10000,3.343850,2.553500,3.662400,100
10001,2.678560,2.234076,3.357464,100
10101,2.116767,1.813385,2.385803,100
10201,3.757993,3.442996,4.005490,100
10301,2.707186,2.227454,3.256674,100
10401,3.142851,2.761177,3.981156,100
10501,3.279050,2.229216,3.778688,100
10601,2.507231,1.876332,2.597396,100
10701,2.532305,2.288478,2.748528,100
10801,2.875751,2.239515,3.608462,100
10901,2.144164,1.777543,2.760114,100
11001,2.634805,2.432233,2.895373,100
11101,2.724122,2.625349,2.849833,100
11201,2.269690,2.124900,2.446656,100
11301,3.062439,2.366959,4.124148,100
11401,2.712138,2.282168,3.533023,100
11501,2.151062,1.843666,2.977828,100
11601,2.442087,2.432118,2.454271,100
11701,2.750789,2.646270,2.865225,100
11801,2.363247,1.807474,2.769087,100
11901,2.348853,2.191497,2.533064,100
12001,2.414094,2.107574,2.986001,100
12101,2.555741,2.523841,2.859846,100
12201,2.179453,1.870011,2.528399,100
12301,2.877635,2.422811,3.491830,100
12401,2.197357,1.871785,2.400290,100
12501,2.627826,1.768978,3.046476,100
12601,2.899621,2.679152,3.212205,100
12701,3.034419,2.470672,3.645146,100
12801,2.877411,2.080306,2.989298,100
12901,3.217900,3.190683,3.304938,100
13001,3.040714,2.999462,3.128990,100
13101,2.928241,2.626899,3.452255,100
13201,2.692008,2.378911,2.910613,100
13301,2.723556,2.591384,2.840764,100
13401,2.384842,2.164988,2.579808,100
13501,3.258627,2.006074,3.885786,100
13601,2.472457,1.842806,3.289537,100
13701,2.420859,2.140209,2.884461,100
13801,3.091691,2.056518,3.519238,100
13901,2.271878,2.151140,2.553629,100
14001,2.999306,2.485751,3.693022,100
14101,2.624181,2.284306,2.864407,100
14201,2.656151,2.341384,2.970917,100
14301,2.552737,2.243479,2.595273,100
14401,3.885298,2.846747,4.645164,100
14501,3.291255,2.624853,3.729536,100
14601,2.985976,2.349976,3.529279,100
14701,2.401688,2.217876,2.818448,100
14801,3.023938,2.242146,3.606108,100
14901,2.756454,2.531307,4.224884,100
15001,3.233688,1.989201,3.455903,100
15101,2.667317,2.140521,3.215615,100
15201,2.952708,1.992106,3.348332,100
15301,2.427577,2.080583,2.834847,100
15401,2.079083,1.897214,2.907798,100
15501,2.401995,1.715760,3.252693,100
15601,3.447635,2.169733,4.007756,100
15701,2.590516,2.425068,2.915802,100
15801,2.608280,2.165432,3.345927,100
15901,2.936796,2.286711,3.334193,100
16001,3.950532,2.695581,4.340166,100
16101,2.727243,2.679585,2.776846,100
16201,2.892515,2.440343,3.262823,100
16301,2.788882,2.651310,2.948163,100
16401,3.220534,2.042680,3.986098,100
16501,3.102067,1.592146,4.128295,100
16601,2.987844,2.315945,3.307271,100
16701,2.913824,2.632717,3.522005,100
16801,3.409989,2.475269,5.193858,100
16901,3.203548,2.209219,4.301994,100
17001,3.068904,2.603611,3.123052,100
17101,2.058836,1.994269,2.120870,100
17201,2.780309,2.524795,3.013197,100
17301,3.325788,1.687070,4.268193,100
17401,3.003670,1.851618,3.436872,100
17501,2.781459,1.900006,3.476601,100
17601,1.877901,1.785296,2.002614,100
17701,2.987420,2.416022,3.951867,100
17801,2.750436,2.146621,3.736869,100
17901,2.845674,1.875538,3.473437,100
18001,2.556594,2.383479,3.429420,100
18101,2.154103,2.032705,2.569361,100
18201,2.697779,2.336135,2.936597,100
18301,2.331710,2.160647,2.440249,100
18401,2.520296,2.319222,4.331938,100
18501,2.938019,1.901086,3.489649,100
18601,2.160290,2.075157,3.096339,100
18701,3.860060,2.912304,4.223090,100
18801,3.253970,2.344769,3.366629,100
18901,3.007247,2.815883,3.236707,100
19001,2.767049,2.116362,3.383454,100
19101,1.762421,1.720329,1.804513,100
19201,2.899553,2.430238,3.349982,100
19301,2.107102,1.935081,3.879954,100
19401,2.515777,2.455389,2.547910,100
19501,2.586040,2.434644,3.197169,100
19601,3.153790,2.984133,3.764349,100
19701,2.877564,2.175016,3.771331,100
19801,2.980201,2.910005,3.362204,100
19901,2.497442,2.426260,3.152254,100
20001,2.241537,1.734163,3.052047,100
20101,3.163578,1.814984,3.695040,100
20201,2.951133,2.700807,3.201970,100
20301,2.691576,1.919019,3.795872,100
20401,1.999451,1.716484,3.434243,100
20501,2.126829,1.922931,2.619580,100
20601,2.708183,2.283675,3.138877,100
20701,2.818628,2.352688,3.264094,100
20801,2.970763,2.069612,4.057593,100
20901,3.216878,2.936032,3.560595,100
21001,2.795886,2.384839,3.411504,100
21101,2.446496,2.234870,2.720961,100
21201,3.018664,2.678364,3.078911,100
21301,2.115245,1.897470,2.380546,100
21401,3.066833,2.480865,3.248399,100
21501,2.596649,2.251895,2.956560,100
21601,2.926384,2.526966,3.981251,100
21701,3.379708,3.310953,3.444496,100
21801,2.880322,2.177607,3.142471,100
21901,2.754694,2.602484,3.645998,100
22001,2.990868,2.881642,3.380346,100
22101,3.228305,1.834035,4.641690,100
22201,2.982565,2.859195,3.214765,100
22301,2.091235,1.719654,2.611946,100
22401,2.620316,2.132807,3.551984,100
22501,2.830133,2.281943,3.516688,100
22601,2.314365,2.064024,2.800363,100
22701,2.204960,1.895423,2.735562,100
22801,3.188222,2.567519,3.587913,100
22901,3.646310,3.223658,4.214663,100
23001,2.894647,2.846615,2.926786,100
23101,2.215003,2.126531,2.759361,100
23201,2.705340,2.473255,2.804103,100
23301,2.743259,2.224926,2.763143,100
23401,2.948929,2.405709,3.561130,100
23501,2.462089,2.213821,2.702864,100
23601,2.647488,2.535613,2.962841,100
23701,2.606434,1.862791,3.926332,100
23801,2.706174,1.839629,3.891559,100
23901,3.072104,2.654157,3.698967,100
24001,2.952775,2.079830,3.820466,100
24101,3.285017,1.958425,3.665740,100
24201,3.361875,2.925458,3.803190,100
24301,3.897520,2.450064,3.978519,100
24401,3.326873,2.950084,3.548584,100
24501,2.739306,2.480225,2.994286,100
24601,3.066124,2.579326,3.516727,100
24701,2.539887,2.018178,3.162018,100
24801,2.650367,2.552196,2.813072,100
24901,3.200593,2.740211,3.809486,100
25001,2.211424,1.858846,3.455422,100
25101,2.874979,2.155014,3.416159,100
25201,2.535022,1.994207,3.716638,100
25301,2.468431,2.084582,4.495633,100
25401,2.274712,1.719539,2.705917,100
25501,2.039480,1.779381,2.945767,100
25601,2.346993,2.018085,2.533612,100
25701,2.685135,2.480448,2.897747,100
25801,2.291847,2.004108,2.792837,100
25901,3.450156,2.811088,4.095518,100
26001,2.634206,2.082458,3.185378,100
26101,2.296931,2.271637,2.522394,100
26201,3.498149,2.529560,4.311782,100
26301,2.445357,2.204707,2.766169,100
26401,2.890709,2.840764,2.940230,100
26501,2.845826,2.272480,3.633938,100
26601,3.209548,2.365776,4.135634,100
26701,2.621974,1.933598,2.752032,100
26801,2.832320,1.914182,3.716205,100
26901,2.971473,2.324932,3.309505,100
27001,2.808787,2.408837,3.304063,100
27101,2.956874,2.599756,3.676580,100
27201,3.087466,2.648800,3.992427,100
27301,2.719795,2.378118,3.077982,100
27401,2.630790,2.411189,3.105835,100
27501,2.359901,2.133850,3.497982,100
27601,2.934209,2.382522,3.647803,100
27701,3.131817,3.097289,3.219667,100
27801,2.456857,1.851552,3.277328,100
27901,2.542027,1.985628,3.335579,100
28001,2.944990,2.205850,3.811685,100
28101,3.046955,2.139639,3.559660,100
28201,2.958274,2.135208,4.286018,100
28301,2.191046,2.018692,2.710010,100
28401,2.813527,2.631034,3.027921,100
28501,2.721517,2.214834,3.321462,100
28601,2.367847,2.016083,3.059089,100
28701,2.682915,1.894150,3.146441,100
28801,2.872979,2.331551,3.445019,100
28901,2.449214,2.064738,2.802637,100
29001,3.099038,1.844902,3.811317,100
29101,2.576527,2.101577,3.567541,100
29201,3.032317,2.561111,3.736345,100
29301,2.866232,1.829767,3.469711,100
29401,2.356728,1.993334,3.827863,100
29501,2.553238,2.193824,2.931019,100
29601,2.591989,1.785514,4.396541,100
29701,2.627560,1.723073,4.070099,100
29801,2.910142,2.422972,3.239992,100
29901,3.524799,3.180797,4.247249,100
30001,3.080187,2.607813,3.992634,100
30101,2.372146,2.173350,2.625295,100
30201,2.852875,2.361677,3.660110,100
30301,2.611420,2.380351,2.913666,100
30401,3.059824,2.617710,3.568731,100
30501,2.197392,1.880102,3.691518,100
30601,2.692575,2.087840,2.909840,100
30701,2.800927,1.697339,3.637699,100
30801,2.926264,2.203467,3.460959,100
30901,2.461371,1.843241,3.166499,100
31001,2.801607,2.707397,2.940518,100
31101,2.500201,1.645864,3.183274,100
31201,3.221321,3.048428,3.578956,100
31301,2.372771,1.671768,2.553592,100
31401,2.550471,2.046018,3.070762,100
31501,2.617384,1.974763,3.328720,100
31601,2.828252,2.500839,3.514920,100
31701,3.076895,2.886218,3.258762,100
31801,2.228829,2.151284,2.303638,100
31901,2.584333,2.391336,2.787405,100
32001,2.539486,2.210150,3.558576,100
32101,3.126266,3.011588,3.327840,100
32201,2.127538,2.024192,2.208720,100
32301,3.444828,1.874865,3.645522,100
32401,4.118837,3.851116,4.375421,100
32501,3.554302,2.985139,4.134058,100
32601,2.587417,2.042207,3.303273,100
32701,2.749701,2.040947,3.446867,100
32801,2.804084,1.807353,3.589159,100
32901,2.496938,1.976292,3.111668,100
33001,2.973860,2.571377,3.401321,100
33101,3.089858,2.408115,3.385306,100
33201,3.028857,2.158881,4.460709,100
33301,3.175992,2.560193,3.561485,100
33401,3.075001,2.495285,3.523727,100
33501,2.749462,2.416316,3.049879,100
33601,2.552158,1.806494,3.202613,100
33701,2.857469,2.511528,3.269547,100
33801,2.707285,2.116003,3.131091,100
33901,2.852439,2.370667,2.970650,100
34001,2.455678,2.366254,3.152407,100
34101,2.940032,1.949796,4.038855,100
34201,3.658393,2.852607,4.600538,100
34301,2.212774,2.014752,2.413661,100
34401,3.191157,2.655272,3.820877,100
34501,2.968871,2.337613,3.973479,100
34601,2.870190,2.609057,3.966880,100
34701,2.865200,1.975044,3.805625,100
34801,2.707181,2.494468,3.122123,100
34901,2.484936,2.197874,2.910690,100
35001,3.535805,2.625125,4.467844,100
35101,3.191543,2.094898,4.203612,100
35201,1.981735,1.620096,2.289594,100
35301,2.508018,2.379763,2.863970,100
35401,2.097439,1.720008,2.865541,100
35501,2.921341,2.375004,4.107631,100
35601,2.775981,2.473077,3.014213,100
35701,3.478894,2.362455,4.008739,100
35801,2.756971,2.315326,3.621016,100
35901,2.462811,2.103395,2.698755,100
36001,2.181814,1.937974,2.577206,100
36101,2.362743,2.206836,2.583363,100
36201,2.597398,1.725394,3.386094,100
36301,2.442816,2.330294,2.799151,100
36401,2.066976,1.721189,2.390841,100
36501,2.534899,1.888880,3.030520,100
36601,2.518133,1.862572,3.202262,100
36701,3.623582,2.812784,4.180131,100
36801,2.776821,2.475884,3.114752,100
36901,2.039700,1.944663,2.331129,100
37001,3.394186,2.704927,4.104565,100
37101,2.590964,2.131775,3.346567,100
37201,3.398255,2.758851,4.112282,100
37301,2.474348,2.051661,3.316292,100
37401,3.571229,2.728082,4.035427,100
37501,2.312033,2.269806,2.365324,100
37601,2.499164,2.380096,2.605409,100
37701,2.346435,1.620196,3.825257,100
37801,3.124824,2.099495,4.831883,100
37901,2.443228,1.910715,3.103586,100
38001,2.498530,1.900845,3.184364,100
38101,2.939365,2.300674,3.260833,100
38201,2.356251,1.978796,2.873747,100
38301,2.499051,1.953709,2.802956,100
38401,2.714949,2.341345,3.098591,100
38501,3.378482,1.968676,4.576505,100
38601,3.004222,2.440610,3.347582,100
38701,2.958511,2.768507,3.343014,100
38801,2.963961,1.999949,3.470375,100
38901,3.149827,2.685741,3.700882,100
39001,2.871273,2.576139,3.688444,100
39101,2.474609,1.966369,3.177770,100
39201,2.252264,1.944313,2.500650,100
39301,2.517488,1.858019,2.745961,100
39401,2.977535,2.574376,3.556788,100
39501,2.217458,1.865624,2.820865,100
39601,2.695198,1.583470,3.485518,100
39701,2.822224,2.465001,3.291756,100
39801,2.942690,2.164519,3.357428,100
39901,3.123991,1.902484,3.614972,100
40001,2.328384,1.858854,2.513287,100
40101,2.630673,2.124211,3.223635,100
40201,2.514519,1.942962,2.990398,100
40301,3.000285,2.334285,3.605593,100
40401,2.614759,2.368159,3.781763,100
40501,3.159128,2.353818,4.140959,100
40601,2.480250,2.167730,3.944533,100
40701,2.972818,2.691384,3.200339,100
40801,2.955511,2.508051,3.375922,100
40901,2.273946,1.781228,2.873891,100
41001,2.562009,1.817346,2.963879,100
41101,3.168688,2.615630,4.383543,100
