ArrSize, Avg, Min, Max, Accuracy
100,3.003300,2.680000,3.290000,100
200,2.729500,2.545000,3.655000,100
300,2.483600,2.266667,2.630000,100
400,2.633700,2.602500,2.667500,100
500,2.413520,2.286000,2.654000,100
600,2.457967,2.398333,2.588333,100
700,2.242914,2.184286,2.292857,100
800,2.556275,2.358750,2.612500,100
900,2.343533,2.276667,2.390000,100
1000,2.461380,2.386000,2.489000,100
100,2.088900,2.710000,2.720000,100
200,2.934550,2.790000,3.085000,100
300,2.543900,2.526667,2.603333,100
400,2.581750,2.545000,2.667500,100
500,2.751000,2.732000,2.770000,100
600,2.413200,2.331667,2.755000,100
700,2.283914,2.270000,2.338571,100
800,2.250500,2.228750,2.266250,100
900,2.353467,2.292222,2.613333,100
1000,2.353920,2.335000,2.378000,100
1100,2.263709,2.141818,2.480000,100
1200,2.386933,2.220833,2.487500,100
1300,2.217692,2.207692,2.226923,100
1400,2.100314,2.027143,2.291429,100
1500,2.382547,2.238000,2.507333,100
1600,2.173438,2.064375,2.282500,100
1700,2.180929,2.011765,2.245882,100
1800,2.261356,2.227222,2.270555,100
1900,2.240974,2.227368,2.252105,100
2000,2.226465,2.175000,2.243500,100
2100,2.148995,2.083810,2.250952,100
2200,2.103264,2.021364,2.231364,100
2300,1.946148,2.079130,2.217391,100
2400,2.074200,1.976667,2.198333,100
2500,2.212284,2.074800,2.298400,100
2600,1.995335,1.909615,2.165385,100
2700,2.020589,1.967778,2.075556,100
2800,2.090357,2.016428,2.287857,100
2900,1.948766,2.157241,2.159655,100
3000,2.050123,2.048000,2.052333,100
3100,2.032581,1.957419,2.188065,100
3200,2.243600,2.192500,2.355000,100
3300,2.202721,2.193939,2.213030,100
3400,2.123271,2.042941,2.170882,100
3500,2.106114,2.076286,2.184000,100
3600,2.173983,2.085000,2.241111,100
3700,2.133851,2.038378,2.288919,100
3800,2.063208,1.958158,2.284210,100
3900,2.130666,2.025898,2.200513,100
4000,2.066100,2.043000,2.081500,100
4100,2.054878,1.964878,2.187317,100
4200,2.081512,2.021905,2.123095,100
4300,2.025916,2.014186,2.036744,100
4400,2.039670,1.968636,2.208409,100
4500,2.096120,1.921333,2.194222,100
4600,2.141022,2.024565,2.236304,100
4700,1.951736,1.843192,2.092128,100
4800,2.154990,1.997500,2.193958,100
4900,2.072514,1.978571,2.106531,100
5000,2.043136,1.942000,2.177200,100
5100,2.075002,1.971177,2.231569,100
5200,2.002590,1.948846,2.096731,100
5300,2.159357,2.100943,2.250000,100
5400,1.997711,1.977593,2.013519,100
5500,2.139786,2.006546,2.172727,100
5600,2.095873,1.863571,2.255536,100
5700,1.947144,1.908246,1.992807,100
5800,2.070995,2.000172,2.178103,100
5900,1.992056,1.845593,2.075424,100
6000,2.020915,1.956833,2.120333,100
6100,2.070503,2.034098,2.102787,100
6200,2.006479,1.936129,2.280323,100
6300,2.000889,1.948571,2.123810,100
6400,2.094028,2.085000,2.101719,100
6500,1.961689,1.895385,2.242000,100
6600,2.072894,1.998939,2.147727,100
6700,2.064666,2.035821,2.067761,100
6800,2.184618,2.183824,2.185294,100
6900,1.998073,1.948985,2.101884,100
7000,1.974899,1.932857,2.024714,100
7100,1.934723,1.897183,1.988451,100
7200,1.990339,1.877639,2.078889,100
7300,1.998958,1.907945,2.139863,100
7400,2.037130,2.015270,2.145135,100
7500,2.033643,2.023200,2.046933,100
7600,2.138283,2.072237,2.233158,100
7700,2.059607,1.913377,2.118442,100
7800,1.989579,1.887949,2.212564,100
7900,2.032434,1.881646,2.094051,100
8000,1.965305,1.831875,2.135125,100
8100,2.071606,1.995556,2.208766,100
8200,1.920921,1.795122,2.034390,100
8300,2.000019,1.929880,2.023735,100
8400,1.951559,1.939881,1.965833,100
8500,2.034369,1.981765,2.119529,100
8600,2.113522,2.086512,2.151744,100
8700,1.979931,1.933103,2.015172,100
8800,1.932983,1.876364,2.076023,100
8900,1.999224,1.958427,2.041685,100
9000,2.033454,2.017555,2.140556,100
9100,2.137098,1.901319,2.309890,100
9200,1.962902,1.917935,2.051087,100
9300,2.084718,1.981613,2.160430,100
9400,2.085855,1.973723,2.189362,100
9500,1.974842,1.958210,2.121368,100
